CASEID,provincp,rpincear,rpagegrp,rpsex,rphighestedp,spincear,spagegrp,spsexp,sphighestedp,ch04toip,ch517toip,y1824toip,m301,m302tot,m308,totexpen
 8808, 0,   5500, 6,2,8, 250000, 6,1,3,0,1,0,  225,  200,   25, 171681
 4631,13,      0, 8,2,2,  90000, 9,1,3,0,0,0,    0,    0,    0,  79082
 1363,13,  60000, 5,2,6,  80000, 6,1,6,2,1,0,    0,    0,    0,  82157
 4523,13,  20000, 6,1,1,  22000, 4,2,2,0,0,0,    0,    0,    0,  41047
 3200,13,      0,12,1,1,      0,12,2,1,0,0,0,    0,    0,    0,  39670
 2213,13,      0, 5,2,2,  72000, 5,1,3,2,2,0,    0,    0,    0,  64951
 2063,13,      0, 1,2,5,  28000, 3,1,3,2,1,1,  200,  200,    0,  96050
 3762,13,  18000, 1,2,2,  15000, 1,1,5,0,0,2,    0,    0,    0,  25253
 2159,13,  37000, 2,2,2,      0,99,9,9,0,1,0,  360,  200,    0,  55214
  862,13,   1600, 6,2,5,      0,99,9,9,0,2,0,  190,  100,   90,  14038
 4706,13,  30000, 9,2,6,      0,99,9,9,0,0,0,    0,    0,    0,  36428
 1072,13,  36000, 4,2,2,      0,99,9,9,0,2,0,  400,  400,    0,  34288
 3201,13,      0,11,2,1,      0,12,1,1,0,0,0,    0,    0,    0,  46023
 2302,13,  39000, 5,2,2,  70000, 5,1,3,0,2,0,    0,    0,    0,  79847
 2635,13,  50000, 3,1,2,   9800, 3,2,2,1,0,0,    0,    0,    0,  55045
 4053,13,  31000, 7,1,2,  19000, 9,2,1,0,0,0,    0,    0,    0,  51222
 2705,13,  15000, 7,1,3,  41000, 7,2,2,0,0,0,    0,    0,    0, 100842
 4554,13,      0, 8,2,2,  95000, 8,1,7,0,0,1, 7350,  350, 7000,  87031
 4091,13,      0,13,2,5,      0,99,9,9,0,0,0,    0,    0,    0,  10527
 4039,13,      0,13,1,1,      0,11,2,1,0,0,0,    0,    0,    0,  49818
 4451,13,  17000, 6,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  41204
 4092,13,      0,10,2,3,      0,99,9,9,0,0,0,    0,    0,    0,  29321
 5255,13,  36000, 4,1,1,  10000, 2,2,2,0,0,1,    0,    0,    0,  47041
 4837,13,  28000, 7,2,2,  98000, 7,1,2,0,0,0,    0,    0,    0, 141250
 4093,13,      0,12,1,8,      0,99,9,9,0,0,0,    0,    0,    0,  34392
 3202,13,      0,10,2,2,      0,10,1,2,0,0,0,    0,    0,    0,  61396
 3203,13,      0,13,1,1,      0,12,2,3,0,0,0,    0,    0,    0,  27636
 2820,13,  54000,10,2,5,  25000,10,1,2,0,0,0,    0,    0,    0,  69168
 1525,13,  42000, 5,2,7,  50000, 4,1,5,2,0,0,    0,    0,    0,  83928
 3073,13,  80000, 8,1,2,   9000, 7,2,2,0,0,0,    0,    0,    0,  91164
 1916,13,  60000, 4,1,2,      0, 4,2,2,2,0,0,    0,    0,    0,  59242
 4129,13,  32000, 6,1,8,  23000, 7,2,5,0,0,1,12680,  680,12000,  95471
 3512,13,  63000, 7,2,7,  27000, 7,1,7,0,1,1,  710,   70,   40,  82706
 4294,13,  19000, 1,2,2,      0,99,9,9,0,0,1,    0,    0,    0,  21947
 3819,13,      0,13,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  10014
 4622,13,  83000, 5,1,7,      0,99,9,9,0,0,0,    0,    0,    0,  73997
 3820,13,      0,13,1,1,      0,99,9,9,0,0,0,    0,    0,    0,  14398
 3821,13,      0,10,1,1,      0,99,9,9,0,0,0,    0,    0,    0,  11621
 3822,13,      0,10,1,7,      0,99,9,9,0,0,0,    0,    0,    0,  12602
 3823,13,      0,11,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  12549
 3824,13,      0,10,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  23523
 5012,13,  18000, 2,1,5,      0,99,9,9,0,0,0, 2100,  900, 1200,  47400
 3763,13,      0, 3,2,1,   2100, 4,1,2,2,0,0,    0,    0,    0,  28013
 3825,13,      0,10,2,3,      0,99,9,9,0,0,0,    0,    0,    0,  15064
 4295,13,  15000, 1,2,2,      0,99,9,9,0,0,1, 6210,  710, 5500,  37267
 3826,13,      0,14,1,1,      0,99,9,9,0,0,0,    0,    0,    0,  13918
 3827,13,      0,14,2,7,      0,99,9,9,0,0,0,    0,    0,    0,  22418
 3828,13,      0,14,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  50510
 3829,13,      0,13,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  15516
 4957,13,   5200, 2,1,2,      0,99,9,9,0,0,2,23994, 1810,22184,  79188
 4060,13,  19000, 5,2,1,      0,99,9,9,0,0,1,    0,    0,    0,  19618
 4221,13,  40000, 3,2,7,      0,99,9,9,0,0,0,    0,    0,    0,  43228
 5035,13,      0, 5,2,5,      0,99,9,9,0,0,0,14450,  450,14000,  43736
 2379,13,  50000, 6,1,2,  50000, 6,2,5,0,0,0,  800,    0,    0,  79769
 4877,13,   9200, 1,1,5,      0,99,9,9,0,0,2,    0,    0,    0,  41061
 4144,13,      0, 9,2,3,      0,99,9,9,0,0,0,    0,    0,    0,  43117
 5167,13,  11000, 2,2,2,  31000, 4,1,2,0,0,0,    0,    0,    0,  43711
 3155,13,  82000, 7,2,5,      0,99,9,9,0,0,0,    0,    0,    0,  68387
 4296,13,  20000, 1,1,1,      0,99,9,9,0,0,1,    0,    0,    0,  18393
 3830,13,      0,11,2,8,      0,99,9,9,0,0,0,    0,    0,    0,  55182
 4070,13,  58000, 5,1,7,  53000, 3,2,7,0,0,0,    0,    0,    0, 111483
 3421,13,  33000, 1,1,2,      0,99,9,9,0,0,2,    0,    0,    0,  78899
 4031,13,  60000, 8,2,8,      0,99,9,9,0,0,0, 5610,  710, 4900,  70154
 4734,13,  23000, 1,2,7,      0,99,9,9,0,0,2, 9600, 1200, 8400,  69199
